Week,Sales (Y),TV_Ad_Spend (X1​),Social_Ad_Spend (X2​),Affiliate_Spend (X3​)
1,"42,000",180,450,250
2,"58,500",220,580,310
3,"35,200",150,390,200
4,"72,100",280,700,380
5,"88,300",350,850,450
6,"45,600",190,480,270
7,"61,000",230,610,330
8,"95,900",380,920,490
9,"102,500",410,980,520
10,"51,200",200,510,290
11,"108,800",430,1050,550
12,"68,200",260,660,360
13,"48,900",170,430,240
14,"121,500",480,1150,600
15,"80,400",310,770,410
16,"74,900",300,750,400
17,"115,100",460,1100,580
18,"91,800",370,900,470
19,"55,700",210,550,300
20,"131,200",520,1250,650
21,"145,500",580,1380,720
22,"84,100",330,810,430
23,"64,500",240,630,340
24,"110,900",440,1070,560
25,"150,800",600,1420,740
26,"77,500",290,720,390
27,"125,900",500,1200,620
28,"32,800",140,360,190
29,"137,000",540,1300,680
30,"98,500",390,950,500
